directorId,directorName,movieId
88939,Donald G. Jackson,26230
261224,Brian Desmond Hurst,137357
55161,Michael Keusch,27885
42,Lars von Trier,34870
608,Hayao Miyazaki,149870
240036,Maroun Bagdadi,66753
45672,Bruno Mattei,35953
145162,Lyes Salem,295314
92905,Rick Stevenson,48842
35735,Nikhil Advani,51485
146439,James Ward Byrkit,220289
1421857,Lina Mannheimer,322434
47062,Daniel Lind Lagerlöf,24712
93906,Robert Z. Leonard,98399
65452,Mike Leigh,49462
15868,Uli Edel,12774
76381,David Butler,14117
99440,Mino Guerrini,104927
131096,Dennis Dimster,59996
19606,Jean Negulesco,16535
130311,Paul Middleditch,41558
1107266,Max McGuire,137499
55789,Tate Taylor,239566
82714,Alan Clarke,307114
25165,Roy William Neill,1773
1088277,Ernesto Cabellos,128990
1375751,Daniel Ray,298296
55968,Rodolphe Marconi,197563
134026,Huang Jianxin,25626
1263750,Dano Johnson,337550
7187,Richard Donner,9691
32603,Teodoro Maniaci,154795
1032,Martin Scorsese,91459
1060223,Sacha Polak,319513
1316819,Ryan Murdock,268272
117370,Park Kwang-hyun,435366
131184,Phillip J. Roth,21947
80215,Charles Stone III,13497
54590,Steve Rash,12919
1215282,Lynne Stopkewich,80294
49892,Fernando Di Leo,28321
13899,G.W. Pabst,42637
1186076,Philippe Lacheau,398929
8577,César Charlone,8267
11431,Ford Beebe,171594
33166,René Clair,66436
30811,Richard Gordon,52059
32765,Tony Richardson,42605
78069,Eric Le Roch,14406
1299390,Jin Shan,258369
1010138,Melville Shyer,95943
60046,Tim Garrick,259018
1148226,John Corry,190148
56911,Les Mayfield,10510
6111,Mike Figgis,79591
88077,Alex Zamm,84575
575126,Ole Giæver,349008
10249,Volker Schlöndorff,253239
78523,Marek Kanievska,13703
1700106,Manuela Burló Moreno,391618
12011,William Castle,29510
64194,Paweł Pawlikowski,82501
68687,Bill Forsyth,65501
225899,Jörg Ihle,20432
11434,Wilfred Jackson,756
10965,Chris Columbus,257344
553096,Daniel Toland,68419
133094,Harry Revier,89581
1155323,Gin Yeung-Chi,172760
112141,Tetsu Kimura,34194
67426,William Keighley,27974
146793,Alberto Lattuada,83782
863070,Abbas Fahdel,82405
59584,David Petrarca,9817
19093,George Marshall,147726
3974,Miloš Forman,10654
35959,James Huth,44588
64061,Fred Schepisi,35119
240555,Naum Birman,65123
1146974,Kinji Yoshimoto,16224
1362555,Lu Yang,291692
7145,Michael Lehmann,1257
83399,H. C. Potter,43466
1181022,Zach Lipovsky,126172
1421868,Jirô Shôno,149723
130030,Chantal Akerman,108822
49903,Tim Hill,50359
72206,Robert Pulcini,64566
128280,Yevgeni Tatarsky,301744
606084,Max Fleischer,81294
24989,Kim Hyun-suk,53514
1364459,Tapio Suominen,423078
238118,Vitali Melnikov,72949
39138,Jean Girault,4729
82482,Greg Pritikin,17906
16785,Peter Webber,1248
1364419,Petrus Cariry,377362
84369,Eugene Jarecki,112878
89193,Carlo Verdone,60014
1144650,Gian Luigi Polidoro,162382
57206,Sally Potter,9300
1148322,Makis Papadimitratos,166733
98750,Trevor Nunn,27074
21678,Olivier Assayas,14735
6046,Roland Emmerich,435
32250,Sean Ellis,158091
1653774,Thomas Della Bella,407389
56539,Nicole Holofcener,209263
2746,Elia Kazan,702
1785844,Peter Malota,449503
995513,Max Zähle,377847
220368,Deborah Perkin,259610
